date,user,location,text
2021-03-17 16:03:44,Appunti_di_Vita,"Roma, Lazio","Still Another Match!, #disegni #tavole di Samy・Consu Art
#arte #fumetto #manga #illustrazioni #paraolimpiadi #inclusione #sport #Tokyo2020 
https://t.co/aogvkBzfFs"
2021-03-17 15:50:17,SportsgramIndia,India,"Asian Table Tennis Qualifier 🏓

Asian Qualifier starts tomorrow.

Indians in action.

Men's Singles: Sharath &amp; Sathiyan
Women's Singles: Sutirtha &amp; Manika
Mixed Doubles (1 quota available): Sharath/Manika

#Tokyo2020 | #TableTennis https://t.co/PsHarmxlZo"
2021-03-17 15:48:04,SportsEngine,,"Meet Team Australia's Swimming world champion, Ariarne Titmus on her road to #Tokyo2020
Watch now: https://t.co/8sMI3IK8u9

#AthletestoWatch #youthsports #youthathletes #SportsEngine #WomeninSports"
2021-03-17 15:29:49,upsportz,"Mumbai, India","Neeraj Chopra sets a Federation Cup record, Avinash Sable breaks the 3000m steeplechase national record, breaches Olympic cut for the second time, both are already #Tokyo2020 bound

@afiindia @Media_SAI @WeAreTeamIndia @India_AllSports @IndianOlympians

https://t.co/hDofVx1e90"
2021-03-17 15:25:33,thoton9,"Tokyo, Japan","#Tokyo2020 ceremony director to resign after the backlash against his plan to dress up a plus-size woman as a pig.
https://t.co/KbOiOsj3VI"
2021-03-17 15:12:46,BoriaMajumdar,,87.80 for @Neeraj_chopra1 on course for #Tokyo2020 fingers crossed for him. Congratulations on the gold today. @Media_SAI @KirenRijiju
2021-03-17 15:07:00,GameTime_Sport,Worldwide,"In ⚾ we still have two spots open. In Florida and Taifung those spots will get an owner!

🇯🇵🛫 
#Tokyo2020 https://t.co/PIemJ73AmA"
2021-03-17 15:05:14,sathiyantt,chennai,"It’s D-day tomorrow to decide the Olympic quota💪💪
#sathiyantt #tabletennis #sports #tokyo2020 https://t.co/DUX2b7Oqhv"
2021-03-17 14:51:59,SonySportsIndia,,"An Olympic 🏅 medalist in the making? Definitely!

@Neeraj_Chopra1 set a new record for javelin throw at the National Federation Cup Senior Athletics Championship 2021 🔥

Watch the highlights on @afiindia's YT channel 📱

#SonySports #HumHongeKamyab #Tokyo2020 @PathakRidhima https://t.co/SOqMpNucQo"
2021-03-17 14:50:33,counterOlympics,London,"Athletes say they aren’t being listened to by the #IOC over preparations for #Tokyo2020 - the Japanese people, who are paying for the thing, don’t want the #Olympics in 2021 - NO-ONE listens to them"
2021-03-17 14:45:40,counterOlympics,London,#JUSTSTOPIT! Protest in #Fukushima against the  #Tokyo2020 #Olympics https://t.co/1VE0FUVqbt
2021-03-17 14:42:05,ESPNIndia,,"""The kind of assured path that we're able to enjoy today is because of the efforts we put in over the last four years.""

TT stars @sathiyantt, @sharathkamal1 and @manikabatra_TT are close to confirming their #Tokyo2020 tickets.

@ninansusan ✍️ https://t.co/QWpfhRcgYs"
2021-03-17 14:27:37,WorldAthletics,FB: WorldAthletics,"“My goals and ambitions burn as brightly as they did when I made my Olympic debut at the Athens Games.""

Injuries behind her, @tripleCIbarguen looks for #Tokyo2020 success."
2021-03-17 14:26:24,sansunson3,,"Naomi Watanabe to be a pig, an ""Olympig"": Tokyo Olympics opening ceremony 'chief' plans discriminatory staging

#Olympics 
#TOKYO2020"
2021-03-17 14:25:30,afiindia,iNDIA,"Superb run by #Tokyo2020 bound Avinash Sable at #FedCup 2021

Paid the best possible tribute to the late coach Nikolai Snesarev with a New National Record 8:20.20secs

Previous best and NR- 8:21.37

@SonySportsIndia @PathakRidhima https://t.co/K9GLNBjmkg"
2021-03-17 14:11:41,MikePatersonFX,"England, United Kingdom",You too can support https://t.co/p9noIfgDsJ on his journey and have your brand associated with this legendary #paralympian. Email info@mspmanagement.com for further details on sponsorship and partnership deals along with motivational speaking sessions 👍👏 #Tokyo2020 #basketball https://t.co/MG4TnfzFp8
2021-03-17 14:05:02,jaolympic,Jamaica,"Today ❗ Today ❗ Today ❗

Register for free with the link in our bio. 
.
.
#webinarseries #joaseries #joawebinar #tokyo2020 https://t.co/4oGIbud8gd"
2021-03-17 14:00:03,FrancsJeux,,"#Short📝

🇯🇵According to @nhk_news, a summit meeting is to be held Monday, March 22nd, by videoconference, between the #Tokyo2020 Organising Committee, the #IOC, the #IPC, the Japanese central government and the metropolitan government of Tokyo.
@Tokyo2020
https://t.co/5e4jo0nO7f"
2021-03-17 13:55:26,oyeekd,"New Delhi, India","Road to #Tokyo2020 for Avinash Sable 

https://t.co/NOAH9Q4hwg"
2021-03-17 13:45:46,oyeekd,"New Delhi, India",Avinash Sable has set a new national record in men’s 3000m steeplechase with a timing of 8:20.20 at the Federation Cup in Patiala. Significant improvement for him ahead of #Tokyo2020 Olympics https://t.co/DfSBlApWTN
